name	analysis
一	一
丁	丁
七	七
万	丆 亅
丈	丈
三	三
上	<卓上> 一
下	下
丌	丌
不	不
与	与
丐	一 <卓上> <亏下>
丑	丑
专	二 <专下>
且	且
丕	不 一
世	世
丘	丘
丙	一 内
业	业
丛	人 人 一
东	<东上> 小
丝	<乡上> <乡上> 一
丞	乛 水 一
丢	千 一 厶
两	两
严	亚 丿
丧	十 <首上> <辰下>
丨	丨
个	人 丨
丫	丷 丨
丬	丬
中	口 丨
丰	丰
串	口 口 丨
临	<临左> <半竹> <横日>
丶	丶
丸	九 丶
丹	<周框> 亠
为	<冬下> 力
主	主
丽	一 冂 冂
举	<应下> 八 <举下>
丿	丿
乃	乃
久	<负上> 丶
乇	丿 七
么	丿 厶
义	丶 乂
之	之
乌	乌
乍	乍
乎	丿 丷 <于下>
乏	丿 之
乐	<卬左> 小
乒	丘 丿
乓	丘 丶
乔	丿 大 <齐下>
乖	千 <北左> 匕
乘	禾 <北左> 匕
乙	乙
乜	亅 乚
九	九
乞	<卧人> 乙
也	也
习	习
乡	<乡上> 丿
书	乛 <韦下> 丶
乩	占 占.1 乚
买	乛 头
乱	舌 乚
乳	爫 子 乚
乾	十 十 乙
了	乛 亅
予	龴 <予下>
争	<负上> <秉中> 亅
事	<于下> 口 <秉中>
二	二
亍	亍
于	于
亏	二 <亏下>
云	云
互	一 彑
亓	二 <齐下>
五	五
井	井
亘	一 日 一
亚	亚
些	止 匕 二
亟	乛 亅 一
亠	亠
亡	亡
亢	亠 几
交	亠 父
亥	亥
亦	亦
产	立 丿
亨	<享上> 乛 亅
亩	亠 田
享	<享上> 子
京	<享上> 小
亭	<亮上> 丁
亮	<亮上> 几
亲	亲
亳	<亮上> 丿 七
亵	衣 执 执.1
人	人
亻	亻
亿	亻 乙
什	亻 十
仁	亻 二
仂	亻 力
仃	亻 丁
仄	厂 人
仅	亻 又
仆	亻 卜
仇	亻 九
仉	亻 几
今	亽 乛
介	人 <齐下>
仍	亻 乃
从	人 人
仑	人 匕
仓	仓
仔	亻 子
仕	亻 士
他	亻 也
仗	亻 丈
付	亻 寸
仙	亻 山
仝	人 工
仞	亻 刀 丶
仟	亻 千
仡	亻 <卧人> 乙
代	代
令	亽 龴
以	以
仨	亻 三
仪	亻 丶 乂
仫	亻 丿 厶
们	亻 门
仰	亻 <卬左> 卩
仲	亻 口 丨
仳	亻 比
仵	亻 午
件	亻 牛
价	亻 人 <齐下>
任	亻 壬
份	亻 分
仿	亻 方
企	人 止
伉	亻 亠 几
伊	亻 <秉中> 丿
伍	亻 五
伎	亻 十 又
伏	亻 大 丶
伐	亻 戈
休	亻 木
众	人 人 人
优	亻 尢 丶
伙	亻 火
会	人 云
伛	亻 匚 乂
伞	人 丷 十
伟	亻 二 <韦下>
传	亻 二 <专下>
伢	亻 一 <牙下>
伤	亻 <卧人> 力
伥	亻 长
伦	亻 人 匕
伧	亻 仓
伪	亻 <冬下> 力
伫	亻 宀 一
伯	亻 白
估	亻 古
伲	亻 尸 匕
伴	亻 半
伶	亻 亽 龴
伸	亻 日 丨
伺	亻 亅 一
似	亻 以
伽	亻 加
佃	亻 田
但	亻 日 一
位	亻 立
低	亻 <卬左> 七
住	亻 主
佐	亻 <有上> 工
佑	亻 <有上> 口
体	亻 木 一
何	亻 可
佗	亻 宀 匕
佘	人 示
余	余
佚	亻 失
佛	亻 弓 <齐下>
作	亻 乍
佝	亻 勹 口
佞	亻 二 女
佟	亻 夂 <冬下>
你	亻 <负上> 小
佣	亻 用
佤	亻 瓦
佥	亼 <应下>
佧	亻 <卓上> 下
佩	亻 <风上> 一
佬	亻 耂 匕
佯	亻 羊
佰	亻 丆 日
佳	亻 圭
佴	亻 耳
佶	亻 吉
佻	亻 <兆左> <兆右>
佼	亻 亠 父
佾	亻 八 冃
使	亻 丈 口
侃	亻 口 <流角>
侄	亻 一 土
侈	亻 夕 夕
侉	亻 大 <亏下>
例	亻 歹 刂
侍	亻 土 寸
侏	亻 朱
侑	亻 <有上> 冃
侔	亻 厶 牛
侗	亻 冂 一
供	亻 龷 八
依	亻 衣
侠	亻 夫 丷
侣	亻 口 口
侥	亻 <尧上> 儿
侦	亻 <卓上> 贝
侧	亻 贝 刂
侨	亻 丿 <齐下>
侩	亻 人 云
侪	亻 文 <齐下>
侬	亻 <巾变> <辰下>
侮	亻 <卧人> 母
侯	亻 <候角> 矢
侵	亻 彐 又
便	亻 丈 日
促	亻 足
俄	亻 手 戈
俅	亻 <求架> 丶
俊	亻 厶 夂
俎	人 人 且
俏	亻 <肖上> 冃
