name	pinyin	importance
阿爸	a1 ba4	100
阿保之功	a1 bao3 zhi1 gong1	100
阿保之劳	a1 bao3 zhi1 lao2	100
阿鼻地狱	a1 bi2 di4 yu4	100
阿鼻叫唤	a1 bi2 jiao4 huan4	100
阿波罗	a1 bo1 luo2	100
阿波罗计划	a1 bo1 luo2 ji4 hua4	100
阿卜杜拉	a1 bu3 du4 la1	100
阿布扎比	a1 bu4 zha1 bi3	100
阿昌族	a1 chang1 zu2	100
阿达	a1 da2	100
阿呆	a1 dai1	100
阿党比周	a1 dang3 bi3 zhou1	100
阿迪	a1 di2	100
阿迪达斯	a1 di2 da2 si1	100
阿斗	a1 dou3	100
阿杜	a1 du4	100
阿尔	a1 er3	100
阿尔巴尼亚	a1 er3 ba1 ni2 ya4	100
阿尔卑斯	a1 er3 bei1 si1	100
阿尔卑斯山	a1 er3 bei1 si1 shan1	100
阿尔贝维尔	a1 er3 bei4 wei2 er3	100
阿尔伯特	a1 er3 bo2 te4	100
阿尔茨海默病	a1 er3 ci2 hai3 mo4 bing4	100
阿尔都塞	a1 er3 dou1 sai1	100
阿尔法	a1 er3 fa3	100
阿尔法粒子	a1 er3 fa3 li4 zi3	100
阿尔及尔	a1 er3 ji2 er3	100
阿尔及利亚	a1 er3 ji2 li4 ya4	100
阿尔卡特	a1 er3 ka3 te4	100
阿尔泰	a1 er3 tai4	100
阿尔泰山	a1 er3 tai4 shan1	100
阿飞	a1 fei1	100
阿福	a1 fu2	100
阿附	e1 fu4	100
阿富汗	a1 fu4 han4	100
阿甘	a1 gan1	100
阿哥	a1 ge1	100
阿根廷	a1 gen1 ting2	100
阿公	a1 gong1	100
阿訇	a1 hong1	100
阿基米德	a1 ji1 mi3 de2	100
阿娇	a1 jiao1	100
阿娇金屋	a1 jiao1 jin1 wu1	100
阿胶	e1 jiao1	100
阿姐	a1 jie3	100
阿拉	a1 la1	100
阿拉巴马	a1 la1 ba1 ma3	100
阿拉伯	a1 la1 bo2	100
阿拉伯半岛	a1 la1 bo2 ban4 dao3	100
阿拉伯人	a1 la1 bo2 ren2	100
阿拉伯数码	a1 la1 bo2 shu4 ma3	100
阿拉伯数字	a1 la1 bo2 shu4 zi4	100
阿拉法特	a1 la1 fa3 te4	100
阿拉木图	a1 la1 mu4 tu2	100
阿拉斯加	a1 la1 si1 jia1	100
阿剌吉酒	a1 la4 ji2 jiu3	100
阿兰	a1 lan2	100
阿兰若	a1 lan2 re3	100
阿郎杂碎	a1 lang2 za2 sui4	100
阿里	a1 li3	100
阿里巴巴	a1 li3 ba1 ba1	100
