name	pinyin	importance
㑇	zhou4	100
㑊	yi4	100
㕮	fu3	100
㘎	han3	100
㙍	duo1	100
㙘	yao1	100
㙦	xie2	100
㛃	jie2	100
㛚	tong3	100
㛹	pian2	100
㟃	si1	100
㠇	jiu4	100
㠓	meng2	100
㤘	zhou4	100
㥄	ling2	100
㧐	song3	100
㧑	hui1	100
㧟	kuai3	100
㫰	lang4	100
㬊	huan3	100
㬎	xian3	100
㬚	che4	100
㭎	gang1	100
㭕	qu1	100
㮾	lang3	100
㰀	li2	100
㳇	fu4	100
㳘	chong1	100
㳚	xu4	100
㴔	ji2	100
㵐	jue2	100
㶲	yong4	100
㸆	kao4	100
㸌	huo4	100
㺄	yu3	100
㻬	tu1	100
㽏	gan4	100
㿠	huang4	100
䁖	lou1	100
䂮	lve4	100
䃅	di1	100
䃎	zha4	100
䅟	can3	100
䌹	jiong3	100
䎃	ran3	100
䎖	zeng1	100
䏝	zhuan1	100
䏡	shi4	100
䏲	ti1	100
䐃	jun4	100
䓖	qiong2	100
䓛	qu1	100
䓨	ying1	100
䓫	qi2	100
䓬	zhuo2	100
䗖	di4	100
䗛	xiu1	100
䗪	zhe4	100
䗴	ting2	100
䜣	xin1	100
䝙	chu1	100
䢺	chu1	100
䢼	gong1	100
䣘	tang2	100
䥽	po1	100
䦃	zhuo1	100
䲟	yin4	100
䲠	chun1	100
䲢	teng2	100
䴓	shi1	100
䴔	jiao1	100
䴕	lie4	100
䴖	jing1	100
䴗	ju2	100
䴘	ti1	100
䴙	pi4	100
䶮	yan3	100
一	yi1	100
丁	ding1	100
七	qi1	100
万	wan4	100
万	mo4	0
丈	zhang4	100
三	san1	100
上	shang4	100
上	shang3	0
下	xia4	100
不	bu4	100
与	yu3	100
与	yu4	0
丏	mian3	100
丐	gai4	100
丑	chou3	100
专	zhuan1	100
且	qie3	100
丕	pi1	100
世	shi4	100
丘	qiu1	100
丙	bing3	100
业	ye4	100
丛	cong2	100
东	dong1	100
丝	si1	100
丞	cheng2	100
丢	diu1	100
两	liang3	100
严	yan2	100
丧	sang4	100
丧	sang1	0
个	ge4	100
个	ge3	0
丫	ya1	100
中	zhong1	99
中	zhong4	1
丰	feng1	100
串	chuan4	100
临	lin2	100
丸	wan2	100
丹	dan1	100
为	wei2	50
为	wei4	50
主	zhu3	100
丽	li4	100
丽	li2	0
举	ju3	100
乂	yi4	100
乃	nai3	100
久	jiu3	100
么	me5	100
义	yi4	100
之	zhi1	100
乌	wu1	100
乍	zha4	100
乎	hu1	100
乏	fa2	100
乐	le4	100
乐	yue4	0
乒	ping1	100
乓	pang1	100
乔	qiao2	100
乖	guai1	100
乘	cheng2	100
乙	yi3	100
乜	mie1	90
乜	nie4	10
九	jiu3	100
乞	qi3	100
也	ye3	100
习	xi2	100
乡	xiang1	100
书	shu1	100
乩	ji1	100
买	mai3	100
乱	luan4	100
乳	ru3	100
乸	na3	100
乾	qian2	100
了	le5	100
了	liao3	0
予	yu3	100
予	yu2	0
争	zheng1	100
事	shi4	100
二	er4	100
亍	chu4	100
于	yu2	100
亏	kui1	100
云	yun2	100
互	hu4	100
亓	qi2	100
五	wu3	100
井	jing3	100
亘	gen4	100
亚	ya4	100
些	xie1	100
亟	ji2	100
亟	qi4	0
亡	wang2	100
亢	kang4	100
交	jiao1	100
亥	hai4	100
亦	yi4	100
产	chan3	100
亨	heng1	100
亩	mu3	100
享	xiang3	100
京	jing1	100
亭	ting2	100
亮	liang4	100
亲	qin1	100
亲	qing4	0
亳	bo2	100
亵	xie4	100
亶	dan3	100
亸	duo3	100
亹	wei3	100
人	ren2	100
亿	yi4	100
什	shi2	100
什	shen2	0
仁	ren2	100
仂	le4	100
仃	ding1	100
仄	ze4	100
仅	jin3	100
仆	pu2	100
仆	pu1	0
仇	chou2	100
仇	qiu2	0
仉	zhang3	100
今	jin1	100
介	jie4	100
仍	reng2	100
从	cong2	100
仑	lun2	100
仓	cang1	100
仔	zai3	100
仔	zi3	0
仕	shi4	100
他	ta1	100
仗	zhang4	100
付	fu4	100
仙	xian1	100
仝	tong2	100
仞	ren4	100
仟	qian1	100
仡	ge1	100
代	dai4	100
令	ling4	100
令	ling2	0
令	ling3	0
以	yi3	100
仨	sa1	100
仪	yi2	100
仫	mu4	100
们	men5	100
们	men2	0
仰	yang3	100
仲	zhong4	100
仳	pi3	100
仵	wu3	100
件	jian4	100
价	jia4	100
价	jie5	0
任	ren4	99
任	ren2	1
份	fen4	100
仿	fang3	100
企	qi3	100
伈	xin3	100
伉	kang4	100
伊	yi1	100
伋	ji2	100
伍	wu3	100
伎	ji4	100
伏	fu2	100
伐	fa2	100
休	xiu1	100
众	zhong4	100
优	you1	100
伙	huo3	100
会	hui4	100
会	kuai4	0
伛	yu3	100
伞	san3	100
伟	wei3	100
传	chuan2	95
传	zhuan4	5
伢	ya2	100
伣	qian4	100
伤	shang1	100
伥	chang1	100
伦	lun2	100
伧	cang1	100
伪	wei3	100
伫	zhu4	100
伭	xian2	100
伯	bo2	100
伯	bai3	0
估	gu1	100
估	gu4	0
伲	ni2	100
伴	ban4	100
伶	ling2	100
伸	shen1	100
伺	si4	95
伺	ci4	5
似	si4	100
似	shi4	0
伽	jia1	100
伽	ga1	0
伽	qie2	0
伾	pi1	100
佁	yi3	100
佃	dian4	100
但	dan4	100
位	wei4	100
低	di1	100
住	zhu4	100
佐	zuo3	100
佑	you4	100
体	ti3	100
体	ti1	0
何	he2	100
佖	bi4	100
佗	tuo2	100
佘	she2	100
余	yu2	100
佚	yi4	100
佛	fo2	100
佛	fu2	0
作	zuo4	95
作	zuo1	5
佝	gou1	100
佞	ning4	100
佟	tong2	100
你	ni3	100
佣	yong1	95
佣	yong4	5
佤	wa3	100
佥	qian1	100
佩	pei4	100
佬	lao3	100
佯	yang2	100
佰	bai3	100
佳	jia1	100
佴	nai4	100
佶	ji2	100
佸	huo2	100
佺	quan2	100
佻	tiao1	100
佼	jiao3	100
佽	ci4	100
佾	yi4	100
使	shi3	100
侁	shen1	100
侂	tuo1	100
侃	kan3	100
侄	zhi2	100
侈	chi3	100
侉	kua3	100
例	li4	100
侍	shi4	100
侏	zhu1	100
侑	you4	100
侔	mou2	100
侗	dong4	100
侘	cha4	100
供	gong1	100
供	gong4	0
依	yi1	100
侠	xia2	100
侣	lv3	100
侥	jiao3	100
侥	yao2	0
侦	zhen1	100
侧	ce4	100
侨	qiao2	100
侩	kuai4	100
侪	chai2	100
侬	nong2	100
侮	wu3	100
侯	hou2	100
侯	hou4	0
侴	chou3	100
侵	qin1	100
侹	ting3	100
便	bian4	100
便	pian2	0
促	cu4	100
俄	e2	100
俅	qiu2	100
俊	jun4	100
俍	liang2	100
俎	zu3	100
俏	qiao4	100
俐	li4	100
俑	yong3	100
俗	su2	100
俘	fu2	100
俙	xi1	100
俚	li3	100
俜	ping1	100
保	bao3	100
俞	yu2	100
俟	si4	100
俟	qi2	0
信	xin4	100
俣	yu3	100
俦	chou2	100
俨	yan3	100
俩	lia3	100
俩	liang3	0
俪	li4	100
俫	lai2	100
俭	jian3	100
修	xiu1	100
俯	fu3	100
俱	ju4	100
俱	ju1	0
俳	pai2	100
俵	biao4	100
俶	chu4	100
俸	feng4	100
俺	an3	100
俾	bi3	100
倌	guan1	100
倍	bei4	100
倏	shu1	100
倒	dao4	70
倒	dao3	30
倓	tan2	100
倔	jue4	95
倔	jue2	5
倕	chui2	100
倘	tang3	100
候	hou4	100
倚	yi3	100
倜	ti4	100
倞	jing4	100
借	jie4	100
倡	chang4	100
倥	kong3	100
倦	juan4	100
倧	zong1	100
倨	ju4	100
倩	qian4	100
倪	ni2	100
倬	zhuo1	100
倭	wo1	100
倮	luo3	100
倴	ben4	100
债	zhai4	100
倻	ye1	100
值	zhi2	100
倾	qing1	100
偁	cheng1	100
偃	yan3	100
假	jia3	100
假	jia4	0
偈	ji4	100
偌	ruo4	100
偎	wei1	100
偏	pian1	100
偓	wo4	100
偕	xie2	100
做	zuo4	100
停	ting2	100
偡	zhan4	100
健	jian4	100
偬	zong3	100
偭	mian3	100
偰	xie4	100
偲	cai1	100
偶	ou3	100
偷	tou1	100
偻	lv3	95
偻	lou2	5
偾	fen4	100
偿	chang2	100
傀	kui3	100
傃	su4	100
傅	fu4	100
傈	li4	100
傉	nu4	100
傍	bang4	100
傒	xi1	100
傕	jue2	100
傣	dai3	100
傥	tang3	100
傧	bin1	100
储	chu3	100
傩	nuo2	100
催	cui1	100
傲	ao4	100
傺	chi4	100
傻	sha3	100
僇	lu4	100
僎	zhuan4	100
像	xiang4	100
僔	zun3	100
僖	xi1	100
僚	liao2	100
僦	jiu4	100
僧	seng1	100
僬	jiao1	100
僭	jian4	100
僮	tong2	100
僰	bo2	100
僳	su4	100
僵	jiang1	100
僻	pi4	100
儆	jing3	100
儇	xuan1	100
儋	dan1	100
儒	ru2	100
儡	lei3	100
儦	biao1	100
儳	chan2	100
儴	rang2	100
儿	er2	100
兀	wu4	100
允	yun3	100
元	yuan2	100
兄	xiong1	100
充	chong1	100
兆	zhao4	100
先	xian1	100
光	guang1	100
克	ke4	100
免	mian3	100
兑	dui4	100
兔	tu4	100
兕	si4	100
兖	yan3	100
党	dang3	100
兜	dou1	100
兢	jing1	100
入	ru4	100
全	quan2	100
八	ba1	100
公	gong1	100
六	liu4	100
兮	xi1	100
兰	lan2	100
共	gong4	100
关	guan1	100
兴	xing4	90
兴	xing1	10
兵	bing1	100
其	qi2	100
具	ju4	100
典	dian3	100
兹	zi1	100
兹	ci2	0
养	yang3	100
兼	jian1	100
兽	shou4	100
冀	ji4	100
冁	chan3	100
内	nei4	100
冈	gang1	100
冉	ran3	100
册	ce4	100
再	zai4	100
冏	jiong3	100
冒	mao4	100
冔	xu3	100
冕	mian3	100
冗	rong3	100
写	xie3	100
军	jun1	100
农	nong2	100
冠	guan1	50
冠	guan4	50
冢	zhong3	100
冤	yuan1	100
冥	ming2	100
冬	dong1	100
冮	gang1	100
冯	feng2	100
冰	bing1	100
冱	hu4	100
冲	chong1	99
冲	chong4	1
决	jue2	100
况	kuang4	100
冶	ye3	100
冷	leng3	100
冻	dong4	100
冼	xian3	100
冽	lie4	100
净	jing4	100
凄	qi1	100
准	zhun3	100
凇	song1	100
凉	liang2	100
凉	liang4	0
凋	diao1	100
凌	ling2	100
减	jian3	100
凑	cou4	100
凓	li4	100
凘	si1	100
凛	lin3	100
凝	ning2	100
几	ji3	100
几	ji1	0
凡	fan2	100
凤	feng4	100
凫	fu2	100
凭	ping2	100
凯	kai3	100
凰	huang2	100
凳	deng4	100
凶	xiong1	100
凸	tu1	100
凹	ao1	100
出	chu1	100
击	ji1	100
凼	dang4	100
函	han2	100
凿	zao2	100
刀	dao1	100
刁	diao1	100
刃	ren4	100
分	fen1	99
分	fen4	1
切	qie1	90
切	qie4	10
刈	yi4	100
刊	kan1	100
刍	chu2	100
刎	wen3	100
刑	xing2	100
划	hua2	100
划	hua4	0
刖	yue4	100
列	lie4	100
刘	liu2	100
则	ze2	100
刚	gang1	100
创	chuang4	100
创	chuang1	0
初	chu1	100
删	shan1	100
判	pan4	100
刨	pao2	100
刨	bao4	0
利	li4	100
别	bie2	100
别	bie4	0
刬	chan4	100
刭	jing3	100
刮	gua1	100
到	dao4	100
刳	ku1	100
制	zhi4	100
刷	shua1	100
刷	shua4	0
券	quan4	100
券	xuan4	0
刹	sha1	100
刹	cha4	0
刺	ci4	100
刺	ci1	0
刻	ke4	100
刽	gui4	100
刿	gui4	100
剀	kai3	100
剁	duo4	100
剂	ji4	100
剃	ti4	100
剅	lou2	100
削	xiao1	100
削	xue1	0
剋	kei1	100
剌	la4	100
前	qian2	100
剐	gua3	100
剑	jian4	100
剔	ti1	100
剕	fei4	100
剖	pou1	100
剜	wan1	100
剞	ji1	100
剟	duo1	100
剡	shan4	100
剥	bao1	70
剥	bo1	30
剧	ju4	100
剩	sheng4	100
剪	jian3	100
副	fu4	100
割	ge1	100
剽	piao1	100
剿	jiao3	100
劁	qiao1	100
劂	jue2	100
劄	zha2	100
劈	pi1	100
劈	pi3	0
劐	huo1	100
劓	yi4	100
力	li4	100
劝	quan4	100
办	ban4	100
功	gong1	100
加	jia1	100
务	wu4	100
劢	mai4	100
劣	lie4	100
动	dong4	100
助	zhu4	100
努	nu3	100
劫	jie2	100
劬	qu2	100
劭	shao4	100
励	li4	100
劲	jin4	100
劲	jing4	0
劳	lao2	100
劼	jie2	100
劾	he2	100
势	shi4	100
勃	bo2	100
勇	yong3	100
勉	mian3	100
勋	xun1	100
勍	qing2	100
勐	meng3	100
勒	lei1	100
勒	le4	0
勔	mian3	100
勖	xu4	100
勘	kan1	100
勚	yi4	100
募	mu4	100
勠	lu4	100
勤	qin2	100
勰	xie2	100
勺	shao2	100
勾	gou1	100
勾	gou4	0
