一	一ＹＩ
丁	丁ＤＧ
七	七ＱＩ
万	丆亅Ｗ
万	丆亅Ｍ
丈	丈ＺＧ
三	三ＳＮ
上	卜一Ｓ
下	下ＸＡ
不	不ＢＵ
与	与ＹＵ
丐	一卜Ｓ
丑	丑ＣＵ
专	二龴Ｚ
且	且ＱＥ
丕	不一Ｐ
世	世ＳＩ
丘	丘ＱＵ
丙	一内Ｂ
业	业ＹＥ
丛	人人一
东	七小Ｄ
丝	丝丝一
丞	乛水一
丢	千一厶
两	两ＬＧ
严	亚丿Ｙ
丧	十首ｒ
个	人丨Ｇ
丫	丷丨Ｙ
中	口丨Ｚ
丰	丰ＦＧ
串	口口丨
临	刂Ｋ日
丸	九丶Ｗ
丹	冂亠Ｄ
为	冫力Ｗ
主	主ＺＵ
丽	一冂冂
举	兴八干
乃	乃ＮＩ
久	刀丶Ｊ
么	丿厶Ｍ
义	丶乂Ｙ
之	之ＺＩ
乌	乌ＷＵ
乍	乍ＺＡ
乎	丿丷丁
乏	丿之Ｆ
乐	Ｃ小Ｌ
乐	Ｃ小Ｙ
乒	丘丿Ｐ
乓	丘丶Ｐ
乔	丿大刂
乖	千丬匕
乘	禾丬匕
乙	乙ＹＩ
乜	亅乚Ｍ
乜	亅乚Ｎ
九	九ＪＵ
乞	人乙Ｑ
也	也ＹＥ
习	习ＸＩ
乡	丝丿Ｘ
书	乛卩丶
乩	占占乚
买	乛头Ｍ
乱	舌乚Ｌ
乳	爫子乚
乾	十十乙
了	乛亅Ｌ
予	龴丁Ｙ
争	刀彐亅
事	丁口彐
二	二ＥＲ
亍	亍ＣＵ
于	于ＹＵ
亏	二ＳＫ
云	云ＹＮ
互	一彑Ｈ
亓	二刂Ｑ
五	五ＷＵ
井	井ＪＧ
亘	一日一
亚	亚ＹＡ
些	止匕二
亟	乛亅一
亡	亡ＷＧ
亢	亠几Ｋ
交	亠父Ｊ
亥	亥ＨＩ
亦	亦ＹＩ
产	立丿Ｃ
亨	高乛亅
亩	亠田Ｍ
享	高子Ｘ
京	高小Ｊ
亭	亮丁Ｔ
亮	亮几Ｌ
亲	亲ＱＮ
亲	亲ＱＧ
亳	亮丿七
亵	衣执执
人	人ＲＮ
亿	亻乙Ｙ
